method,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.00707,0.00344,0.00647,0.00555,0.01619,0.03314,0.03153,0.05158
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.23778
1s3,0.00632,0.03415,0.0326,0.0383,0.16212,0.2381,0.2381,0.09322
b14,0.02168,0.11759,0.13239,n/a,0.30859,0.20812,0.20812,n/a
2so,0.0,0.0228,0.02121,0.07239,0.07119,0.06201,0.07022,0.18164
3ob,0.05148,0.06181,0.02983,0.0322,0.14095,0.06739,0.06433,0.11589
1s5,0.02764,0.02464,0.02107,0.02754,0.03128,0.0688,0.0688,0.04761
b25,n/a,n/a,n/a,n/a,0.11336,0.05686,0.05065,0.04413
5s1,0.08404,0.04784,0.05279,0.05091,0.4358,0.11727,0.11727,n/a
os2,0.05514,0.12675,0.06951,0.06145,0.06865,0.08629,0.09081,0.33918
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.27214
1c4,0.01369,0.00964,0.00913,0.01528,0.04735,0.03959,0.03769,0.08571
