LM1,TS,LM2,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
1s5,1e(a),1c4,0.098,0.146,0.086,0.133,0.225,0.082,0.312,0.011
1s5,1h2,1c4,0.009,0.026,0.021,0,0.182,0,0,0.222
2so,5ho,1c4,0.0,0.0,0.0,0.084,0.061,0.018,0.09,0
2so,5e,1c4,0.0,0.0,0.0,0.085,0.044,0.04,0.201,0.046
1s3,5ho,1c4,0.0,0,0,0,0.139,0,0,0.025
3ob,3h2,1c4,0.051,0.2,0.121,0.084,0.064,0,0,0.192
os2,3h2,1c4,0.134,0.153,0.192,0.132,0.185,0.002,0.007,0
os2,b14,1c4,0,0,0,0,0.043,0,0,0
os2,3h4,1c4,0,0,0,0,0.004,0,0,0
5s1,5e,1c4,0.201,0.134,0.077,0.425,0.054,0.052,0.196,0
1s3,1e(b),1c4,0.0,0.0,0.0,0.013,0,0,0,0
1s5,1e(b),1c4,0.002,0,0.0,0.026,0,0,0,0
1s3,1e(a),1c4,0,0,0,0,0,0,0,0
3ob,3h4,1c4,0.025,0.021,0.003,0.014,0,0,0,0
b14,3h4,1c4,0.472,0.312,0.499,0,0,0,0,0
5s1,3h4,1c4,0,0.009,0,0,0,0,0,0
b14,5e,1c4,0,0,0,0,0,0,0,0
5s1,5ho,1c4,0,0,0,0,0,0,0,0
1s3,eo,1c4,0,0,0,0.004,0,0,0,0
b25,e2,1c4,0,0,0,0,0,0.769,0.152,0
5s1,5h4,1c4,0,0,0,0,0,0.038,0.037,0
3ob,3e,1c4,0,0,0,0,0,0,0.005,0
1s5,1s5,1c4,0,0,0,0,0,0,0,0.008
b25,1s5,1c4,0,0,0,0,0,0,0,0.09
1s5,oh1,1c4,0,0,0,0,0,0,0,0.0
b25,3h2,1c4,0,0,0,0,0,0,0,0.406
3ob,b14,1c4,0,0,0,0,0,0,0,0.0
2so,3h4,1c4,0.0,0,0,0,0,0,0,0
1s3,5e,1c4,0.006,0,0,0,0,0,0,0
