method,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20268
2h3,n/a,n/a,n/a,n/a,n/a,n/a,0.23416,n/a,n/a,n/a,n/a
2h1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20268
4h3,n/a,n/a,n/a,n/a,n/a,n/a,0.23414,n/a,n/a,n/a,n/a
e1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0882,n/a,n/a,n/a
e5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0882,n/a,n/a,n/a
e3,0.0,0.00775,0.00949,0.01789,0.01581,0.00949,n/a,n/a,0.05848,0.05848,0.06856
oh5,0.0,0.01924,0.03619,0.03899,0.05235,0.09534,0.18992,n/a,n/a,n/a,n/a
oh1,0.0,0.0228,0.03564,0.04494,0.04754,0.09685,0.18888,n/a,n/a,n/a,n/a
bo3,0.0,0.0,0.01,0.01,0.00548,0.00632,0.01789,0.01378,n/a,0.03536,0.03886
25b,0.0,0.00447,0.00775,0.01049,0.02646,0.00447,0.08748,0.10927,0.01304,0.01304,0.20988
14b,0.0,0.00316,0.00548,0.01225,0.02881,0.00316,0.10837,0.11104,0.01225,0.01225,0.21161
b14,0.0,0.00316,0.00548,0.01225,0.02898,0.00316,0.1084,0.11104,0.01225,0.01225,0.21161
b25,0.0,0.00316,0.00548,0.01095,0.02757,0.00316,0.10837,0.11104,0.01225,0.01225,0.21164
3ob,0.0,0.0,0.01,0.01,0.00548,0.00632,0.01789,0.01378,n/a,n/a,0.03886
1ho,0.0,0.02302,0.0355,0.04494,0.04754,0.09711,0.15423,n/a,n/a,n/a,n/a
5ho,0.0,0.02,0.03795,0.03873,0.0532,0.09524,0.18992,n/a,n/a,n/a,n/a
3e,0.0,0.00548,0.00837,0.01732,0.01414,0.00707,0.27806,n/a,0.05857,0.05857,0.06863
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0882,n/a,n/a,n/a
1e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0882,n/a,n/a,n/a
1h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20268
3h2,n/a,n/a,n/a,n/a,n/a,n/a,0.23416,n/a,n/a,n/a,n/a
3h4,n/a,n/a,n/a,n/a,n/a,n/a,0.23418,n/a,n/a,n/a,n/a
5h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20266
