,AM1,APFD,B3LYP,BMK,M06L,PBEPBE,PM3,PM3MM,PM6
4c1,0.00224,0.0,0.0,0.00316,0.00577,0.0,0.0,0.0,0.0
2h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4h5,n/a,n/a,n/a,n/a,n/a,n/a,4.28589,4.28589,4.36872
4h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2h1,n/a,n/a,n/a,n/a,n/a,n/a,4.28589,4.28589,4.36872
e1,4.55509,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e5,4.55509,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oh1,n/a,0.93687,0.0,0.53589,0.54342,0.05273,n/a,n/a,n/a
oh5,n/a,0.92181,0.0,0.49761,0.49636,0.05206,n/a,n/a,n/a
e3,n/a,0.39659,0.0,n/a,0.51079,n/a,5.32943,5.33069,5.2466
1s3,2.46961,0.06519,0.0,0.02828,0.11937,0.00707,2.37954,1.94775,n/a
1s5,1.99938,0.13649,0.00387,0.15854,0.18852,0.13465,1.79379,1.79591,2.0171
bo3,3.58433,0.20895,0.0,0.1161,0.0502,0.01643,n/a,3.30007,2.95477
os2,2.4669,0.06609,0.00183,0.02429,0.1344,0.00816,2.37283,2.38283,n/a
25b,3.97401,0.26668,0.0,0.30183,n/a,0.13054,3.57555,3.57555,3.86106
b14,3.96899,0.27359,0.0,0.36835,0.08786,0.13867,3.57053,3.57053,3.85604
14b,3.96899,0.27485,0.0,0.3671,0.08155,n/a,3.57053,3.57053,3.85604
b25,3.97401,0.26418,0.0,0.31124,0.12112,0.13428,3.57555,3.57555,3.86106
3ob,3.58433,0.20895,0.0,0.11735,0.0496,0.01643,n/a,n/a,2.91141
2so,2.46667,0.09737,0.00258,0.04433,0.16818,0.00753,3.36509,2.37482,n/a
5s1,1.99969,0.14335,0.00387,0.1583,0.28798,0.08255,1.7945,1.79638,2.01726
3s1,2.46994,0.0747,0.00158,0.02387,0.12041,0.00483,3.36564,3.35936,n/a
3e,n/a,0.39659,0.0,n/a,0.51079,n/a,5.33069,5.33069,5.2466
1ho,n/a,0.93687,0.0,0.53339,0.54405,0.0502,n/a,n/a,n/a
5ho,n/a,n/a,0.0,n/a,0.48883,0.06025,n/a,n/a,n/a
eo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5e,4.55509,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1e,4.55509,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5h4,n/a,n/a,n/a,n/a,n/a,n/a,4.28589,4.28589,4.36872
1h2,n/a,n/a,n/a,n/a,n/a,n/a,4.28589,4.28589,4.36872
3h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1c4,0.0,0.0,0.0,0.0,0.00606,0.0,0.0,0.0,0.0
