File Name,Pucker,phi,theta,q_ts,energy (A.U.),H298 (Hartrees),G298 (Hartrees),freq1,phi_lm1,theta_lm1,phi_lm2,theta_lm2
puck09,  3e     ,0.2,117.6,0.57,11.4,10.9,10.5,-240.6,180,178.3,27.5,90.4
puck10,  e3      ,180,62.4,0.57,11.4,10.9,10.5,-240.4,152.6,89.6,0.2,1.7
puck11,  5ho   ,158.3,117.4,0.56,10.8,10.5,10.2,-222.7,152.4,89.6,180.1,178.3
puck12,  oh5    ,338.3,62.6,0.56,10.8,10.5,10.2,-222.7,0.1,1.7,332.4,90.4
puck13,  oh1    ,21.8,62.6,0.56,10.8,10.5,10.2,-222.3,359.9,1.7,27.5,90.4
puck14,  1ho   ,201.8,117.4,0.56,10.8,10.5,10.2,-222.3,207.5,89.6,179.9,178.3
puck15,  14b ,244.6,89.9,0.7,7.6,7.1,7.5,-89.3,207.4,89.6,270,90
puck16,  b14 ,64.6,90.1,0.7,7.6,7.1,7.5,-89.2,90,90,27.4,90.4
puck17,  o3b ,0,90.4,0.74,6.6,6.2,6.6,-88.5,27.4,90.4,332.5,90.4
puck18,  b25 ,295.4,90.1,0.7,7.6,7.1,7.5,-88.5,270,90,332.6,90.4
puck19,  bo3 ,180,89.6,0.74,6.6,6.2,6.6,-88.4,152.5,89.6,207.4,89.6
puck20,  25b ,115.5,89.9,0.7,7.6,7.1,7.5,-87.6,152.5,89.6,90,90
n/a,n/a,161.7827984,60.27313478,n/a,n/a,n/a,6.92142,n/a,0.02475625,2.554010498,152.3141298,90.28416458
n/a,n/a,334.312256987,61.3700105659,n/a,n/a,n/a,7.36753,n/a,359.92612362823934,0.897929177622422,332.7630326647161,90.77411787362333
n/a,n/a,25.8114044365,61.3693853281,n/a,n/a,n/a,7.36296,n/a,27.240720769792517,90.77325852976092,359.97780717660874,0.8888225482394638
n/a,n/a,119.407835144,89.8514064801,n/a,n/a,n/a,3.30171,n/a,90.02273015450166,89.99591707908476,152.80288895372675,89.23236563684323
n/a,n/a,61.2269510079,90.1747937242,n/a,n/a,n/a,3.26685,n/a,27.257963360069542,90.77653815835802,90.02459104603027,90.00309932653144
n/a,n/a,240.882229424,89.8031750938,n/a,n/a,n/a,3.26558,n/a,207.22116082614386,89.23138573860008,269.89653541625603,90.0077486595566
n/a,n/a,298.759579246,90.1722229615,n/a,n/a,n/a,3.26695,n/a,332.82439901516256,90.76925378129005,269.95605710008033,89.9919137238276
n/a,n/a,180.006983457,89.1044644909,n/a,n/a,n/a,3.06088,n/a,207.20614585837873,89.23382783045489,152.76713302297009,89.22584840849001
n/a,n/a,219.008249529,120.051873787,n/a,n/a,n/a,7.28626,n/a,180.03712876813927,179.1106487631233,207.2416176328423,89.22666685610581
n/a,n/a,200.67641803,117.712598931,n/a,n/a,n/a,9.8231,n/a,180.03712876813927,179.1106487631233,207.2416176328423,89.22666685610581
n/a,n/a,153.675446215,118.975209448,n/a,n/a,n/a,7.3471,n/a,180.1399547,178.0843777,152.9632416,89.75191199
n/a,n/a,0.00646583684246,90.704082559,n/a,n/a,n/a,3.01009,n/a,332.76391175793754,90.77432484034564,27.155824949702104,90.76680077248689
n/a,n/a,6.34134384491,118.873742547,n/a,n/a,n/a,7.00018,n/a,27.13777601,90.2507862,179.7032127,178.1156374
