"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"oxane-bo3-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.42322182","1.446","0.142027","-271.275124","-271.309572","-86.9495","226.612","180.02445209163162","89.93844532792518","0.7531130263150815","bo3","N/A","N/A","N/A","N/A","N/A","N/A","1.4320068044929115","1.5574193257803115","1.5383234213474095","1.5383004275612095","1.5574396829081376","1.431987316512964","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-oh1-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.417126821","1.5463","0.142086","-271.2687","-271.304686","-220.6045","38.4633","15.550983833402249","62.650545627436195","0.5732794060422041","oe","N/A","N/A","N/A","N/A","N/A","N/A","1.4300062030274554","1.5330767379860668","1.5592579165965457","1.5619183071879912","1.5510373690827053","1.428982431283884","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e5-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.417122467","1.5464","0.142085","-271.268698","-271.304671","-221.2513","39.0104","344.4506315355792","62.65165752313922","0.5732708255401124","oe","N/A","N/A","N/A","N/A","N/A","N/A","1.4289959937487577","1.5510046924426115","1.5618737931427111","1.5592721665450198","1.533101274805419","1.4300277588581978","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5e-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.417122459","1.5464","0.142084","-271.268698","-271.304674","-221.2337","38.8654","164.44484421107427","117.34717961099301","0.5732788245262568","eo","N/A","N/A","N/A","N/A","N/A","N/A","1.4289949540302793","1.5510088992191502","1.5618738329074473","1.5592708850642343","1.5331007203269456","1.4300241872898514","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1ho-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.417126875","1.5463","0.142087","-271.2687","-271.304683","-220.5727","38.5508","195.53485590264603","117.34932241766629","0.5732694090438043","eo","N/A","N/A","N/A","N/A","N/A","N/A","1.4300064539637574","1.533085897768615","1.5592592994066123","1.5619167108552876","1.5510284966498844","1.428982459948337","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-5s1-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.42202048","1.7923","0.141783","-271.274113","-271.30865","-91.7672","231.2683","115.27509880083439","90.04755751172621","0.7146422937315742","25b","N/A","N/A","N/A","N/A","N/A","N/A","1.446419276937707","1.5304828923624074","1.5406461878594968","1.5580046133205125","1.5326824839721371","1.4326597162564458","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-o3b-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.423221753","1.446","0.142026","-271.275124","-271.309572","-86.9692","226.6087","0.022630232917971043","90.06153484337118","0.7531178137935248","o3b","N/A","N/A","N/A","N/A","N/A","N/A","1.4320079851079743","1.5574186633641578","1.538326108826734","1.5382996985428425","1.5574391563592462","1.4319860516946386","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-b14-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.422022704","1.7923","0.141788","-271.274112","-271.308645","-92.3182","232.0123","64.6627137715826","89.94681806031925","0.714579498712003","b14","N/A","N/A","N/A","N/A","N/A","N/A","1.4326334829023786","1.532688566201236","1.5579910182594123","1.5406577610556471","1.530506714460933","1.4464549694964584","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-e4-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.416752022","1.7696","0.141539","-271.268828","-271.304555","-248.9561","60.0531","0.49111607256165707","117.9234034272415","0.581304191141527","3e","N/A","N/A","N/A","N/A","N/A","N/A","1.43797829008299","1.5403017322865673","1.532739012573243","1.5327234232271003","1.5396649244238174","1.4378614075149942","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4c1-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.422022916","1.7923","0.141789","-271.274111","-271.308644","-92.2413","231.9103","295.3216456421815","89.93669512903425","0.7145717250634782","b25","N/A","N/A","N/A","N/A","N/A","N/A","1.446467360522525","1.5305112627684252","1.5406535275411535","1.5579808112650169","1.532667873255651","1.432634453639518","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-1c4-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.422023154","1.7922","0.14179","-271.274111","-271.308643","-92.1328","231.9515","244.6758805156732","90.06410035719222","0.7145663638490385","14b","N/A","N/A","N/A","N/A","N/A","N/A","1.4326305116648186","1.5326666209176085","1.5579809070274258","1.5406542205040687","1.5305119399155305","1.4464691339123001","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"oxane-4e-freeze_pbe-TS_pbe.log","N/A","C5H10O","0","1","pbepbe","6-31+G(d,p)","-271.416752022","1.7696","0.141539","-271.268828","-271.304555","-248.9561","60.0531","180.49111607256165","62.076596572758504","0.581304191141527","e3","N/A","N/A","N/A","N/A","N/A","N/A","1.43797829008299","1.5403017322865673","1.532739012573243","1.5327234232271003","1.5396649244238174","1.4378614075149942","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
